name,price,size_mm,color,rpm,airflow_cfm,noise_level_db,pwm,original_price
Corsair ML140 LED ELITE White Premium,0.1715145297809216,0.5263157894736842,Black,0.1025641025641025,0.0135965851317888,0.3119468851377357,True,32.20846315789474
Corsair ML140 LED ELITE White Premium,0.1715145297809216,0.5263157894736842,Black,0.1025641025641025,0.0135965851317888,0.3119468851377357,True,32.20846315789474
Apevia CF12SL-UGN,0.0216570756760101,0.4210526315789473,Green,0.1923076923076923,0.0005246666469317,0.3795384615384616,False,7.99
Phanteks SK140,0.1715145297809216,0.5263157894736842,Black,0.1025641025641025,0.0007023666019775,0.4769230769230769,True,32.20846315789474
Scythe Kaze Flex,0.0874327083720067,0.4210526315789473,Black,0.2051282051282051,0.0006615773629016,0.4738461538461538,False,18.62
Scythe Kaze Flex,0.0874327083720067,0.4210526315789473,Black,0.2051282051282051,0.0006615773629016,0.4738461538461538,False,13.95
Scythe Kaze Flex,0.0874327083720067,0.4210526315789473,Black,0.2051282051282051,0.0006615773629016,0.4738461538461538,False,20.91
Scythe Kaze Flex,0.0874327083720067,0.4210526315789473,Black,0.2051282051282051,0.0006615773629016,0.4738461538461538,False,26.22
Scythe Kaze Flex,0.0874327083720067,0.4210526315789473,Black,0.2051282051282051,0.0006615773629016,0.4738461538461538,False,13.95
Scythe Kaze Flex,0.0874327083720067,0.4210526315789473,Black,0.2051282051282051,0.0006615773629016,0.4738461538461538,False,17.27
Scythe Kaze Flex,0.0874327083720067,0.4210526315789473,Black,0.2051282051282051,0.0006615773629016,0.4738461538461538,False,32.20846315789474
Scythe Kaze Flex,0.0874327083720067,0.4210526315789473,Black,0.2051282051282051,0.0006615773629016,0.4738461538461538,False,32.20846315789474
Scythe Kaze Flex,0.0874327083720067,0.4210526315789473,Black,0.2051282051282051,0.0006615773629016,0.4738461538461538,False,32.20846315789474
Thermaltake Riing Plus TT 5-Pack,0.1715145297809216,0.5263157894736842,Black,0.0961538461538461,0.00051898713263,0.3415384615384615,True,119.99
Thermaltake Riing Plus TT 5-Pack,0.1715145297809216,0.5263157894736842,Black,0.0961538461538461,0.00051898713263,0.3415384615384615,True,32.20846315789474
Aerocool Project 7 RGB 12,0.1715145297809216,0.4210526315789473,Unknown,0.1282051282051282,0.0003693405361048,0.1461538461538461,False,32.20846315789474
EK Vardar EVO 120ER,0.1715145297809216,0.4210526315789473,Black / White,0.1474358974358974,0.0041659917874238,0.4384615384615385,True,32.20846315789474
Thermalright TL-C12015W-S,0.1715145297809216,0.4210526315789473,White,0.1666666666666666,0.000422693549242,0.2938461538461538,True,32.20846315789474
Thermaltake CT140 EX ARGB Sync 3-Pack,0.1715145297809216,0.5263157894736842,Black,0.1217948717948718,0.0007522774852349,0.3953846153846154,True,32.20846315789474
Corsair ML140 Pro,0.3527628240826682,0.5263157894736842,Black / White,0.1282051282051282,0.0180205825598293,0.3119468851377357,True,61.39
Corsair ML140 Pro,0.3527628240826682,0.5263157894736842,Black / White,0.1282051282051282,0.0180205825598293,0.3119468851377357,True,31.9
