name,id,details_link,price,drive_size_gb,rating_per_dollar,overall_rank,last_price_change,average_rating,drive_size__gb,interface_type,price_per_gb,original_price
NVMe PLEXTOR PX-512M8,rk12484,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20PLEXTOR%20PX-512M8&id=12484,0.1465248156124764,0.026188415744084,0.2453236082190752,3633,Unknown,12016,476.9,PCIe (Unknown Gen) NVMe,5.595024038274496,158.46462441314551
NVMe KINGSTON OM8SBP3512K-AH,rk28944,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20KINGSTON%20OM8SBP3512K-AH&id=28944,0.1465248156124764,0.026188415744084,0.2453236082190752,3634,Unknown,12011,476.9,PCIe (Unknown Gen) NVMe,5.595024038274496,158.46462441314551
Plextor M8Pe 512GB NVMe,rk12997,https://www.harddrivebenchmark.net/hdd.php?hdd=Plextor%20M8Pe%20512GB%20NVMe&id=12997,0.1465248156124764,0.026188415744084,0.2453236082190752,3639,Unknown,11986,476.9,PCIe (Unknown Gen) NVMe,5.595024038274496,158.46462441314551
Patriot M.2 P300,rk26830,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot%20M.2%20P300&id=26830,0.001094833428914,0.0119602518575989,0.6746650386472902,3640,18.99 USD (2024-12-24),11974,238.5,SATA,0.0915393289329788,18.99
SSSTC CL1-8D256-HP,rk27148,https://www.harddrivebenchmark.net/hdd.php?hdd=SSSTC%20CL1-8D256-HP&id=27148,0.1465248156124764,0.0119602518575989,0.2453236082190752,3641,Unknown,11973,238.5,SATA,12.250980778417407,158.46462441314551
SMI 2263XT,rk32169,https://www.harddrivebenchmark.net/hdd.php?hdd=SMI%202263XT&id=32169,0.1465248156124764,0.0119602518575989,0.2453236082190752,3643,Unknown,11970,238.5,SATA,12.250980778417407,158.46462441314551
SanDisk Ultra 3D NVMe,rk27350,https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk%20Ultra%203D%20NVMe&id=27350,0.1465248156124764,0.0116260332428157,0.2453236082190752,3645,Unknown,11966,232.9,PCIe (Unknown Gen) NVMe,12.603165030774376,158.46462441314551
SK hynix BC511 HFM512GDJTNI-82A0A,rk26120,https://www.harddrivebenchmark.net/hdd.php?hdd=SK%20hynix%20BC511%20HFM512GDJTNI-82A0A&id=26120,0.1465248156124764,0.026188415744084,0.2453236082190752,3646,Unknown,11964,476.9,SATA,5.595024038274496,158.46462441314551
SSSTC CL4-3D256-HP,rk33554,https://www.harddrivebenchmark.net/hdd.php?hdd=SSSTC%20CL4-3D256-HP&id=33554,0.1465248156124764,0.0119602518575989,0.2453236082190752,3647,Unknown,11952,238.5,SATA,12.250980778417407,158.46462441314551
INTEL SSDPEKNW01,rk28698,https://www.harddrivebenchmark.net/hdd.php?hdd=INTEL%20SSDPEKNW01&id=28698,0.1465248156124764,0.0546566798961535,0.2453236082190752,3649,Unknown,11950,953.9,SATA,2.6808217383651987,158.46462441314551
SAMSUNG KLFGGAR4AA-K0T0,rk30709,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG%20KLFGGAR4AA-K0T0&id=30709,0.1465248156124764,0.0546566798961535,0.2453236082190752,3652,Unknown,11946,953.9,SATA,2.6808217383651987,158.46462441314551
MACROVIP MVGLD 512GB,rk30831,https://www.harddrivebenchmark.net/hdd.php?hdd=MACROVIP%20MVGLD%20512GB&id=30831,0.1465248156124764,0.026188415744084,0.2453236082190752,3653,Unknown,11941,476.9,SATA,5.595024038274496,158.46462441314551
QUANXING N200 256G,rk36556,https://www.harddrivebenchmark.net/hdd.php?hdd=QUANXING%20N200%20256G&id=36556,0.1465248156124764,0.0119602518575989,0.2453236082190752,3656,Unknown,11934,238.5,SATA,12.250980778417407,158.46462441314551
Pumeitou PMT-NE512,rk36182,https://www.harddrivebenchmark.net/hdd.php?hdd=Pumeitou%20PMT-NE512&id=36182,0.1465248156124764,0.026188415744084,0.2453236082190752,3658,Unknown,11934,476.9,SATA,5.595024038274496,158.46462441314551
PLEXTOR PX-512M8SeG,rk15057,https://www.harddrivebenchmark.net/hdd.php?hdd=PLEXTOR%20PX-512M8SeG&id=15057,0.1465248156124764,0.026188415744084,0.2453236082190752,3659,Unknown,11927,476.9,SATA,5.595024038274496,158.46462441314551
Dahua E900 M.2 2280 NVMe 256GB SSD,rk35699,https://www.harddrivebenchmark.net/hdd.php?hdd=Dahua%20E900%20M.2%202280%20NVMe%20256GB%20SSD&id=35699,0.1465248156124764,0.0119602518575989,0.2453236082190752,3660,Unknown,11924,238.5,PCIe (Unknown Gen) NVMe,12.250980778417407,158.46462441314551
Sabrent Rocket nano,rk25401,https://www.harddrivebenchmark.net/hdd.php?hdd=Sabrent%20Rocket%20nano&id=25401,0.1465248156124764,0.026188415744084,0.2453236082190752,3661,Unknown,11921,476.9,SATA,5.595024038274496,158.46462441314551
JAZER P3500 256GB NVME M.2,rk35109,https://www.harddrivebenchmark.net/hdd.php?hdd=JAZER%20P3500%20256GB%20NVME%20M.2&id=35109,0.1465248156124764,0.0119602518575989,0.2453236082190752,3662,Unknown,11919,238.5,PCIe (Unknown Gen) NVMe,12.250980778417407,158.46462441314551
LITEON T10 240,rk14147,https://www.harddrivebenchmark.net/hdd.php?hdd=LITEON%20T10%20240&id=14147,0.1465248156124764,0.0110709916146936,0.2453236082190752,3664,Unknown,11905,223.6,SATA,13.235021822074655,158.46462441314551
KBG40ZPZ256G TOSHIBA MEMORY,rk25388,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZPZ256G%20TOSHIBA%20MEMORY&id=25388,0.1465248156124764,0.0119602518575989,0.2453236082190752,3665,Unknown,11902,238.5,SATA,12.250980778417407,158.46462441314551
ADATA IM2P32A8-256GCTB5,rk35773,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20IM2P32A8-256GCTB5&id=35773,0.1465248156124764,0.0119602518575989,0.2453236082190752,3666,Unknown,11901,238.5,SATA,12.250980778417407,158.46462441314551
KBG40ZNV128G TOSHIBA MEMORY,rk24420,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNV128G%20TOSHIBA%20MEMORY&id=24420,0.1465248156124764,0.0048402017248067,0.2453236082190752,3669,Unknown,11897,119.2,SATA,30.27246051781564,158.46462441314551
HP SSD EX900 Pro 512GB,rk26569,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX900%20Pro%20512GB&id=26569,0.1465248156124764,0.026188415744084,0.2453236082190752,3670,Unknown,11892,476.9,SATA,5.595024038274496,158.46462441314551
SAMSUNG MZVLQ256HBJD-00BTW,rk33428,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG%20MZVLQ256HBJD-00BTW&id=33428,0.1465248156124764,0.0119602518575989,0.2453236082190752,3671,Unknown,11892,238.5,SATA,12.250980778417407,158.46462441314551
KingSpec 512GB M.2 NVMe NE-512,rk16526,https://www.harddrivebenchmark.net/hdd.php?hdd=KingSpec%20512GB%20M.2%20NVMe%20NE-512&id=16526,0.0879724727595015,0.026188415744084,0.1139577223718207,3672,102.31 USD (2021-05-18),11889,476.9,PCIe (Unknown Gen) NVMe,3.3592132345529366,102.31
WD Blue SN550 NVMe SSD 250GB,rk25414,https://www.harddrivebenchmark.net/hdd.php?hdd=WD%20Blue%20SN550%20NVMe%20SSD%20250GB&id=25414,0.0229915020071946,0.0116260332428157,0.3112932942317966,3674,39.99 USD (2024-10-25),11886,232.9,PCIe (Unknown Gen) NVMe,1.9775878433344427,39.99
NE-512 2280,rk33247,https://www.harddrivebenchmark.net/hdd.php?hdd=NE-512%202280&id=33247,0.1465248156124764,0.026188415744084,0.2453236082190752,3677,Unknown,11882,476.9,SATA,5.595024038274496,158.46462441314551
RPITJ256VFD2MWX,rk24566,https://www.harddrivebenchmark.net/hdd.php?hdd=RPITJ256VFD2MWX&id=24566,0.1465248156124764,0.0119602518575989,0.2453236082190752,3678,Unknown,11876,238.5,SATA,12.250980778417407,158.46462441314551
MKNSSDHL500GB-D8,rk24155,https://www.harddrivebenchmark.net/hdd.php?hdd=MKNSSDHL500GB-D8&id=24155,0.1465248156124764,0.0255259467040673,0.2453236082190752,3679,Unknown,11874,465.8,SATA,5.740230413829433,158.46462441314551
HFM512GDGTNI-82A0A,rk28300,https://www.harddrivebenchmark.net/hdd.php?hdd=HFM512GDGTNI-82A0A&id=28300,0.1465248156124764,0.026188415744084,0.2453236082190752,3681,Unknown,11866,476.9,SATA,5.595024038274496,158.46462441314551
LDLC F8+M.2 480,rk24470,https://www.harddrivebenchmark.net/hdd.php?hdd=LDLC%20F8%2BM.2%20480&id=24470,0.1465248156124764,0.0244098952582734,0.2453236082190752,3683,Unknown,11858,447.1,SATA,6.002681046442172,158.46462441314551
Netac NVMe SSD 256GB,rk27717,https://www.harddrivebenchmark.net/hdd.php?hdd=Netac%20NVMe%20SSD%20256GB&id=27717,0.1465248156124764,0.0119602518575989,0.2453236082190752,3684,Unknown,11848,238.5,PCIe (Unknown Gen) NVMe,12.250980778417407,158.46462441314551
Samsung SSD 950 Pro 256GB NVMe,rk10708,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20950%20Pro%20256GB%20NVMe&id=10708,0.0855429852458161,0.0119602518575989,0.1164215552672604,3685,99.98 USD (2024-12-21),11844,238.5,PCIe (Unknown Gen) NVMe,7.152272900630104,99.98
KINGSTON SNVS/500G,rk35200,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SNVS%2F500G&id=35200,0.1465248156124764,0.026188415744084,0.2453236082190752,3686,Unknown,11832,476.9,SATA,5.595024038274496,158.46462441314551
SN520 SDAPNUW-256G-1004,rk25863,https://www.harddrivebenchmark.net/hdd.php?hdd=SN520%20SDAPNUW-256G-1004&id=25863,0.1465248156124764,0.0119602518575989,0.2453236082190752,3687,Unknown,11831,238.5,SATA,12.250980778417407,158.46462441314551
NVMe BM9C1 Samsung 512GB,rk38019,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20BM9C1%20Samsung%20512GB&id=38019,0.1465248156124764,0.026188415744084,0.2453236082190752,3688,Unknown,11819,476.9,PCIe (Unknown Gen) NVMe,5.595024038274496,158.46462441314551
SSD M.2 PCI NVME 1TB InnovationIT,rk27553,https://www.harddrivebenchmark.net/hdd.php?hdd=SSD%20M.2%20PCI%20NVME%201TB%20InnovationIT&id=27553,0.1465248156124764,0.0546566798961535,0.2453236082190752,3691,Unknown,11808,953.9,PCIe (Unknown Gen) NVMe,2.6808217383651987,158.46462441314551
35TTFP6PCIE-1TB,rk26987,https://www.harddrivebenchmark.net/hdd.php?hdd=35TTFP6PCIE-1TB&id=26987,0.1465248156124764,0.0546566798961535,0.2453236082190752,3692,Unknown,11807,953.9,SATA,2.6808217383651987,158.46462441314551
APS-SE20G-256,rk25242,https://www.harddrivebenchmark.net/hdd.php?hdd=APS-SE20G-256&id=25242,0.1465248156124764,0.0119602518575989,0.2453236082190752,3693,Unknown,11804,238.5,SATA,12.250980778417407,158.46462441314551
INTEL HBRPEKNX0203AH,rk28287,https://www.harddrivebenchmark.net/hdd.php?hdd=INTEL%20HBRPEKNX0203AH&id=28287,0.2200719461967572,0.0546566798961535,0.0434223293032585,3694,229 USD (2024-09-20),11796,953.9,SATA,4.026441902707759,229.0
KBG40ZPZ256G NVMe KIOXIA 256GB,rk30534,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZPZ256G%20NVMe%20KIOXIA%20256GB&id=30534,0.1465248156124764,0.0119602518575989,0.2453236082190752,3695,Unknown,11793,238.5,PCIe (Unknown Gen) NVMe,12.250980778417407,158.46462441314551
NVMe MTFDHBA512QFD-1AX1AABHA,rk29816,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20MTFDHBA512QFD-1AX1AABHA&id=29816,0.1465248156124764,0.026188415744084,0.2453236082190752,3697,Unknown,11783,476.9,PCIe (Unknown Gen) NVMe,5.595024038274496,158.46462441314551
MTFDHBA512QFD-1AX1AABHA,rk28405,https://www.harddrivebenchmark.net/hdd.php?hdd=MTFDHBA512QFD-1AX1AABHA&id=28405,0.1465248156124764,0.026188415744084,0.2453236082190752,3698,Unknown,11779,476.9,SATA,5.595024038274496,158.46462441314551
Patriot P300 512GB,rk26922,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot%20P300%20512GB&id=26922,0.0566810906626348,0.026188415744084,0.1648696676005974,3699,72.3 USD (2022-02-27),11778,476.9,SATA,2.164357371462577,72.3
NVMe KINGSTON SNVS1000G,rk29484,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20KINGSTON%20SNVS1000G&id=29484,0.1465248156124764,0.0533198054370206,0.2453236082190752,3700,Unknown,11773,931.5,PCIe (Unknown Gen) NVMe,2.7480373270593788,158.46462441314551
MyDigitalSSD BPX Pro 480GB,rk22242,https://www.harddrivebenchmark.net/hdd.php?hdd=MyDigitalSSD%20BPX%20Pro%20480GB&id=22242,0.1465248156124764,0.0244098952582734,0.2453236082190752,3701,Unknown,11772,447.1,SATA,6.002681046442172,158.46462441314551
NVMe PC300 NVMe SK hy,rk20809,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20PC300%20NVMe%20SK%20hy&id=20809,0.1465248156124764,0.0546566798961535,0.2453236082190752,3702,Unknown,11768,953.9,PCIe (Unknown Gen) NVMe,2.6808217383651987,158.46462441314551
VICKTER NVMe,rk31919,https://www.harddrivebenchmark.net/hdd.php?hdd=VICKTER%20NVMe&id=31919,0.1465248156124764,0.0119602518575989,0.2453236082190752,3703,Unknown,11765,238.5,PCIe (Unknown Gen) NVMe,12.250980778417407,158.46462441314551
N100pro M.2 PCIE 256GB,rk37002,https://www.harddrivebenchmark.net/hdd.php?hdd=N100pro%20M.2%20PCIE%20256GB&id=37002,0.1465248156124764,0.0119602518575989,0.2453236082190752,3705,Unknown,11764,238.5,SATA,12.250980778417407,158.46462441314551
Micron MTFDHBA512QFD,rk27970,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron%20MTFDHBA512QFD&id=27970,0.1465248156124764,0.026188415744084,0.2453236082190752,3706,Unknown,11760,476.9,SATA,5.595024038274496,158.46462441314551
HX512GSSDM2PCIE,rk35370,https://www.harddrivebenchmark.net/hdd.php?hdd=HX512GSSDM2PCIE&id=35370,0.1465248156124764,0.026188415744084,0.2453236082190752,3707,Unknown,11755,476.9,SATA,5.595024038274496,158.46462441314551
D1-XTREME 512GB,rk24396,https://www.harddrivebenchmark.net/hdd.php?hdd=D1-XTREME%20512GB&id=24396,0.1465248156124764,0.026188415744084,0.2453236082190752,3708,Unknown,11733,476.9,SATA,5.595024038274496,158.46462441314551
SKHynix BC511 512GB,rk24848,https://www.harddrivebenchmark.net/hdd.php?hdd=SKHynix%20BC511%20512GB&id=24848,0.1465248156124764,0.026188415744084,0.2453236082190752,3709,Unknown,11726,476.9,SATA,5.595024038274496,158.46462441314551
SDM12SI1TA,rk29243,https://www.harddrivebenchmark.net/hdd.php?hdd=SDM12SI1TA&id=29243,0.1465248156124764,0.0546566798961535,0.2453236082190752,3711,Unknown,11713,953.9,SATA,2.6808217383651987,158.46462441314551
BIWIN SSD 500GB,rk19785,https://www.harddrivebenchmark.net/hdd.php?hdd=BIWIN%20SSD%20500GB&id=19785,0.1465248156124764,0.0258959744561487,0.2453236082190752,3713,Unknown,11707,472.0,SATA,5.658208223081006,158.46462441314551
KBG40ZNV256G TOSHIBA MEMORY,rk25524,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNV256G%20TOSHIBA%20MEMORY&id=25524,0.1465248156124764,0.0119602518575989,0.2453236082190752,3714,Unknown,11706,238.5,SATA,12.250980778417407,158.46462441314551
SSPDKEFK52G6 8VNeMI TNLE2 65BG,rk38244,https://www.harddrivebenchmark.net/hdd.php?hdd=SSPDKEFK52G6%208VNeMI%20TNLE2%2065BG&id=38244,0.1465248156124764,0.0119602518575989,0.2453236082190752,3715,Unknown,11703,238.5,SATA,12.250980778417407,158.46462441314551
NVMe WDC PC SN520 SDA,rk22684,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20WDC%20PC%20SN520%20SDA&id=22684,0.1465248156124764,0.0119602518575989,0.2453236082190752,3716,Unknown,11687,238.5,PCIe (Unknown Gen) NVMe,12.250980778417407,158.46462441314551
JAJP600M256GB,rk27711,https://www.harddrivebenchmark.net/hdd.php?hdd=JAJP600M256GB&id=27711,0.1465248156124764,0.0119602518575989,0.2453236082190752,3717,Unknown,11686,238.5,SATA,12.250980778417407,158.46462441314551
Viper M.2 VPN100 256GB,rk23461,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper%20M.2%20VPN100%20256GB&id=23461,0.0428653354882435,0.0119602518575989,0.202895548747915,3718,59.05 USD (2022-04-18),11679,238.5,SATA,3.583982678509307,59.05
JAJP600M512GB,rk28775,https://www.harddrivebenchmark.net/hdd.php?hdd=JAJP600M512GB&id=28775,0.1465248156124764,0.026188415744084,0.2453236082190752,3721,Unknown,11670,476.9,SATA,5.595024038274496,158.46462441314551
Daten DS2000,rk27256,https://www.harddrivebenchmark.net/hdd.php?hdd=Daten%20DS2000&id=27256,0.1465248156124764,0.0119602518575989,0.2453236082190752,3722,Unknown,11665,238.5,SATA,12.250980778417407,158.46462441314551
KZ256,rk31873,https://www.harddrivebenchmark.net/hdd.php?hdd=KZ256&id=31873,0.1465248156124764,0.0119602518575989,0.2453236082190752,3723,Unknown,11658,238.5,SATA,12.250980778417407,158.46462441314551
SSSTC CL1-4D256,rk27150,https://www.harddrivebenchmark.net/hdd.php?hdd=SSSTC%20CL1-4D256&id=27150,0.1465248156124764,0.0119602518575989,0.2453236082190752,3724,Unknown,11652,238.5,SATA,12.250980778417407,158.46462441314551
Micron 2210 MTFDHBA512QFD,rk27019,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron%202210%20MTFDHBA512QFD&id=27019,0.0088733642667222,0.026188415744084,0.4672669988116912,3725,26.45 USD (2023-10-18),11646,476.9,SATA,0.3388278372175594,26.45
NVMe SK hynix BC511 HFM512GDJTNI-82A0A,rk27936,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20SK%20hynix%20BC511%20HFM512GDJTNI-82A0A&id=27936,0.1465248156124764,0.026188415744084,0.2453236082190752,3727,Unknown,11645,476.9,PCIe (Unknown Gen) NVMe,5.595024038274496,158.46462441314551
WDC WDS250G2B0C,rk28589,https://www.harddrivebenchmark.net/hdd.php?hdd=WDC%20WDS250G2B0C&id=28589,0.1465248156124764,0.0116260332428157,0.2453236082190752,3728,Unknown,11643,232.9,SATA,12.603165030774376,158.46462441314551
