name,price,rpm,noise_level_db,color,size_mm,original_price
Thermalright Peerless Assassin 120 SE,0.0289637691270173,0.0886917960088691,0.4571428571428571,Black,0.4896551724137931,33.9
NZXT Kraken Elite 360 RGB,0.308125203478908,0.0532150776053215,0.4330357142857142,White,0.8000000000000002,273.99
NZXT Kraken Elite 360 RGB,0.308125203478908,0.0532150776053215,0.4330357142857142,White,0.8000000000000002,273.99
NZXT Kraken Elite 360 RGB,0.308125203478908,0.0532150776053215,0.4330357142857142,White,0.8000000000000002,275.99
NZXT Kraken Elite 360 RGB,0.308125203478908,0.0532150776053215,0.4330357142857142,White,0.8000000000000002,275.99
Deepcool GAMMAXX AG400 ARGB,0.0244174689549323,0.0620842572062084,0.5642857142857143,Black,0.4896551724137931,29.99
Deepcool GAMMAXX AG400 ARGB,0.0244174689549323,0.0620842572062084,0.5642857142857143,Black,0.4896551724137931,29.99
Deepcool GAMMAXX AG400 ARGB,0.0244174689549323,0.0620842572062084,0.5642857142857143,Black,0.4896551724137931,29.99
Deepcool GAMMAXX AG400 ARGB,0.0244174689549323,0.0620842572062084,0.5642857142857143,Black,0.4896551724137931,29.99
Corsair iCUE H150i ELITE CAPELLIX XT,0.2104553276591786,0.0687361419068736,0.3491071428571428,Black,0.8000000000000002,189.99
Corsair iCUE H150i ELITE CAPELLIX XT,0.2104553276591786,0.0687361419068736,0.3491071428571428,Black,0.8000000000000002,189.99
Corsair iCUE H150i ELITE CAPELLIX XT,0.2104553276591786,0.0687361419068736,0.3491071428571428,Black,0.8000000000000002,199.99
Corsair iCUE H150i ELITE CAPELLIX XT,0.2104553276591786,0.0687361419068736,0.3491071428571428,Black,0.8000000000000002,199.99
Cooler Master MASTERLIQUID ML240L RGB V2,0.10580903213804,0.0598669623059866,0.2946428571428571,Black,0.4,99.99
Noctua NH-D15 chromax.black,0.1290172550113948,0.0310421286031042,0.3910714285714285,Black,0.4896551724137931,119.95
NZXT Kraken 240,0.1302265010929724,0.0532150776053215,0.4330357142857142,Black,0.4,120.99
Thermalright Phantom Spirit 120 SE,0.0312892423608204,0.0842572062084257,0.4571428571428571,Black / Silver,0.4896551724137931,35.9
Deepcool AK620 ZERO DARK,0.0616134133296125,0.0554323725055432,0.5,Black,0.4896551724137931,61.98
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,116.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,116.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,116.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,116.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,99.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,99.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,99.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,99.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,111.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,111.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,111.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,111.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,127.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,127.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,127.99
ARCTIC Liquid Freezer III,0.1255755546253662,0.0399113082039911,0.4521222306225758,Black,0.8000000000000002,127.99
Cooler Master Hyper 212 Black Edition,0.0244174689549323,0.0687361419068736,0.2901785714285714,Black,0.4896551724137931,29.99
Cooler Master Hyper 212 Black Edition,0.0244174689549323,0.0687361419068736,0.2901785714285714,Black,0.4896551724137931,29.99
Cooler Master Hyper 212 Black Edition,0.0244174689549323,0.0687361419068736,0.2901785714285714,Black,0.4896551724137931,92.99
Cooler Master Hyper 212 Black Edition,0.0244174689549323,0.0687361419068736,0.2901785714285714,Black,0.4896551724137931,92.99
NZXT Kraken Elite 360 RGB,0.310450676712711,0.0532150776053215,0.4330357142857142,Black,0.8000000000000002,273.99
NZXT Kraken Elite 360 RGB,0.310450676712711,0.0532150776053215,0.4330357142857142,Black,0.8000000000000002,273.99
NZXT Kraken Elite 360 RGB,0.310450676712711,0.0532150776053215,0.4330357142857142,Black,0.8000000000000002,275.99
NZXT Kraken Elite 360 RGB,0.310450676712711,0.0532150776053215,0.4330357142857142,Black,0.8000000000000002,275.99
Deepcool LS720 SE WH,0.103483558904237,0.073170731707317,0.5455357142857142,White,0.8000000000000002,97.99
Thermalright Assassin X 120 Refined SE,0.0103483558904237,0.0886917960088691,0.4571428571428571,Black / Silver,0.4896551724137931,17.89
Deepcool LS720 SE,0.096728059160039,0.073170731707317,0.5455357142857142,Black,0.8000000000000002,92.18
Thermalright Peerless Assassin 120 SE WHITE ARGB,0.0325566252732431,0.0886917960088691,0.4571428571428571,White,0.4896551724137931,36.99
Noctua NH-D15,0.1173898888423794,0.0310421286031042,0.3910714285714285,Unknown,0.4896551724137931,109.95
Corsair iCUE H100x RGB ELITE,0.10580903213804,0.0842572062084257,0.3125,Black,0.4,99.99
Thermalright Phantom Spirit 120 SE ARGB,0.0324519789777219,0.0842572062084257,0.4571428571428571,Black / Silver,0.4896551724137931,36.9
Corsair iCUE H100i RGB ELITE,0.1290637644760709,0.0509977827050997,0.3026785714285714,Black,0.4,119.99
Corsair iCUE H100i RGB ELITE,0.1290637644760709,0.0509977827050997,0.3026785714285714,Black,0.4,119.99
Corsair iCUE H100i RGB ELITE,0.1290637644760709,0.0509977827050997,0.3026785714285714,Black,0.4,149.99
Corsair iCUE H100i RGB ELITE,0.1290637644760709,0.0509977827050997,0.3026785714285714,Black,0.4,149.99
Deepcool AK400,0.0284870471140877,0.0554323725055432,0.5178571428571428,Black / Silver,0.4896551724137931,33.49
Deepcool AK400,0.0284870471140877,0.0554323725055432,0.5178571428571428,Black / Silver,0.4896551724137931,33.49
Deepcool AK400,0.0284870471140877,0.0554323725055432,0.5178571428571428,Black / Silver,0.4896551724137931,33.49
Deepcool AK400,0.0284870471140877,0.0554323725055432,0.5178571428571428,Black / Silver,0.4896551724137931,33.7
Deepcool AK400,0.0284870471140877,0.0554323725055432,0.5178571428571428,Black / Silver,0.4896551724137931,33.7
Deepcool AK400,0.0284870471140877,0.0554323725055432,0.5178571428571428,Black / Silver,0.4896551724137931,33.7
Deepcool AK400,0.0284870471140877,0.0554323725055432,0.5178571428571428,Black / Silver,0.4896551724137931,102.19361725663715
Deepcool AK400,0.0284870471140877,0.0554323725055432,0.5178571428571428,Black / Silver,0.4896551724137931,102.19361725663715
Deepcool AK400,0.0284870471140877,0.0554323725055432,0.5178571428571428,Black / Silver,0.4896551724137931,102.19361725663715
ID-COOLING SE-214-XT,0.0104530021859448,0.0399113082039911,0.3955357142857142,Black,0.4896551724137931,17.98
ID-COOLING SE-214-XT,0.0104530021859448,0.0399113082039911,0.3955357142857142,Black,0.4896551724137931,17.98
ID-COOLING SE-214-XT,0.0104530021859448,0.0399113082039911,0.3955357142857142,Black,0.4896551724137931,17.98
ID-COOLING SE-214-XT,0.0104530021859448,0.0399113082039911,0.3955357142857142,Black,0.4896551724137931,17.98
ID-COOLING SE-214-XT,0.0104530021859448,0.0399113082039911,0.3955357142857142,Black,0.4896551724137931,17.98
ID-COOLING SE-214-XT,0.0104530021859448,0.0399113082039911,0.3955357142857142,Black,0.4896551724137931,17.98
ID-COOLING SE-214-XT,0.0104530021859448,0.0399113082039911,0.3955357142857142,Black,0.4896551724137931,102.19361725663715
ID-COOLING SE-214-XT,0.0104530021859448,0.0399113082039911,0.3955357142857142,Black,0.4896551724137931,102.19361725663715
ID-COOLING SE-214-XT,0.0104530021859448,0.0399113082039911,0.3955357142857142,Black,0.4896551724137931,102.19361725663715
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,116.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,116.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,116.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,116.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,99.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,99.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,99.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,99.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,111.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,111.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,111.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,111.99
ARCTIC Liquid Freezer III,0.10580903213804,0.0399113082039911,0.4521222306225758,Black,0.4,127.99
