id,name,performance_score,percentage_rating,price,details_link,class,socket,clock_speed_(ghz),turbo_speed_(ghz),cores,threads,tdp,performance_per_dollar,thread-to-core_ratio,estimated_release_year,original_price
rk6296,Intel Core Ultra 9 285K,0.3865130373971827,36.0,0.0396325360156041,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+Ultra+9+285K&id=6296,Desktop,FCLGA1851,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,113.4218903648394,1.884240058550866,2024.0,599.99
rk6211,AMD Ryzen 9 9950X,0.3761697026207999,36.0,0.0388917409498918,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+9950X&id=6211,Desktop,AM5,4.3,5.7,16.0,32.0,170.0,112.71207986576044,2.0,2024.0,589.99
rk5031,AMD Ryzen 9 7950X,0.3506410469879116,34.0,0.0337061754899062,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X&id=5031,Desktop,AM5,4.5,5.7,16.0,32.0,170.0,120.513856035693,2.0,2022.0,519.99
rk5234,AMD Ryzen 9 7950X3D,0.3495754104365779,33.0,0.0422253187455968,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X3D&id=5234,Desktop,AM5,4.2,5.7,16.0,32.0,120.0,98.43619584560386,2.0,2022.0,634.99
rk5957,Intel Core i9-14900KS,0.346045489360285,33.0,0.045929294074158,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900KS&id=5957,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,90.47723324428094,1.884240058550866,2023.0,684.99
rk5160,Intel Core i9-13900KS,0.3422691398314962,33.0,0.0262248861212785,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KS&id=5160,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,146.56085918854416,1.884240058550866,2022.0,419.0
rk5717,Intel Core i9-14900K,0.3312731026674215,32.0,0.0272701479589984,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900K&id=5717,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,137.97418669622036,1.884240058550866,2023.0,433.11
rk5684,Intel Core i9-14900KF,0.3277831429618035,32.0,0.0274842377329893,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900KF&id=5684,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,135.8577981651376,1.884240058550866,2023.0,436.0
rk6338,Intel Core Ultra 7 265KF,0.3267841086949282,32.0,0.0228913083255735,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+Ultra+7+265KF&id=6338,Desktop,FCLGA1851,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,157.97860962566844,1.884240058550866,2024.0,374.0
rk5022,Intel Core i9-13900K,0.3254986846048819,31.0,0.0321393939259249,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900K&id=5022,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,118.05588966402054,1.884240058550866,2022.0,498.84
rk6326,Intel Core Ultra 7 265K,0.3250857504412401,31.0,0.0223727517795749,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+Ultra+7+265K&id=6326,Desktop,FCLGA1851,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,160.29700272479565,1.884240058550866,2024.0,367.0
rk5055,Intel Core i9-13900KF,0.3207965633221219,31.0,0.0261404354837873,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KF&id=5055,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,139.2452017422103,1.884240058550866,2022.0,417.86
rk6171,AMD Ryzen 9 9900X,0.2979986013520264,29.0,0.0255574297670718,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+9900X&id=6171,Desktop,AM5,4.4,5.6,12.0,24.0,120.0,133.56911144174248,2.0,2024.0,409.99
rk5723,Intel Core i7-14700KF,0.2904459022944486,29.0,0.0192606717085178,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700KF&id=5723,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,165.01430813255791,1.884240058550866,2023.0,324.99
rk5719,Intel Core i7-14700K,0.2870092244163975,28.0,0.019831824704182,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700K&id=5719,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,159.63931469792607,1.884240058550866,2023.0,332.7
rk5061,Intel Core i7-13700KF,0.2428519098205068,25.0,0.0165938094719538,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700KF&id=5061,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,160.84293574172116,1.884240058550866,2022.0,288.99
rk5060,Intel Core i7-13700K,0.2417929334976189,25.0,0.0197903401805021,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700K&id=5060,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,139.4682965014753,1.884240058550866,2022.0,332.14
