name,id,details_link,price,average_mark,database_operations,read_cached_mbps,read_uncached_mbps,write_mbps,latency,threaded_mbps,memory_size_gb,original_price
Corsair CM4B16G4J2400A16K2-O 16GB,rk11213,https://www.memorybenchmark.net/ram.php?ram=Corsair+CM4B16G4J2400A16K2-O+16GB&id=11213,0.1890551527136892,0.6902366863905325,4378.0,31381.0,18188.0,13527.0,0.0617977528089887,0.0822810074151995,16,124.96513513513514
Corsair CMW16GX4M1D3000C16 16GB,rk13533,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW16GX4M1D3000C16+16GB&id=13533,0.1890551527136892,0.7857988165680474,6474.0,33684.0,18188.0,15453.0,0.0730337078651685,0.1116365566048811,16,124.96513513513514
Corsair CMT16GX4M2K4266C19 8GB,rk13803,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2K4266C19+8GB&id=13803,0.1890551527136892,0.7038461538461538,6645.0,33872.0,18184.0,14784.0,0.050561797752809,0.1153652889767588,8,124.96513513513514
Corsair CMD64GX4M4B3466C16 16GB,rk8837,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3466C16+16GB&id=8837,0.1890551527136892,0.7538461538461538,6402.0,29705.0,18178.0,15311.0,0.0955056179775281,0.1474023321013802,16,124.96513513513514
V-Color Technology Inc. TL8G36818C-I2PSAAS 8GB,rk14182,https://www.memorybenchmark.net/ram.php?ram=V-Color+Technology+Inc.+TL8G36818C-I2PSAAS+8GB&id=14182,0.1890551527136892,0.7118343195266272,6241.0,32529.0,18177.0,14992.0,0.0674157303370786,0.1268238620087254,8,124.96513513513514
Vickter Electronics Co. Ltd. DDR4 8G 3200 8GB,rk25579,https://www.memorybenchmark.net/ram.php?ram=Vickter+Electronics+Co.+Ltd.+DDR4+8G+3200+8GB&id=25579,0.1890551527136892,0.3979289940828402,5111.0,32632.0,18176.0,10299.0,0.2415730337078651,0.1187793802039062,8,124.96513513513514
G Skill Intl F4-3466C16-16GTZSW 16GB,rk9819,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3466C16-16GTZSW+16GB&id=9819,0.1890551527136892,0.6609467455621303,6064.0,30513.0,18176.0,13856.0,0.1292134831460674,0.1386111645948878,16,124.96513513513514
Corsair CMR32GX4M4D3000C16 8GB,rk12064,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M4D3000C16+8GB&id=12064,0.1890551527136892,0.6026627218934912,3616.0,29061.0,18174.0,11882.0,0.1011235955056179,0.1215219239131966,8,124.96513513513514
Wilk Elektronik S.A. IRX2666D464L16S/4G 4GB,rk14549,https://www.memorybenchmark.net/ram.php?ram=Wilk+Elektronik+S.A.+IRX2666D464L16S%2F4G+4GB&id=14549,0.1890551527136892,0.4644970414201183,3611.0,27435.0,18173.0,10619.0,0.1573033707865168,0.1227523116731864,4,124.96513513513514
Corsair CM4X16GC3000C16K4D 16GB,rk12966,https://www.memorybenchmark.net/ram.php?ram=Corsair+CM4X16GC3000C16K4D+16GB&id=12966,0.1890551527136892,0.6568047337278107,6526.0,32774.0,18172.0,13762.0,0.1348314606741573,0.1133412541502106,16,124.96513513513514
Shenzhen Fanxiang Information Technology UD1116G365 16GB,rk25890,https://www.memorybenchmark.net/ram.php?ram=Shenzhen+Fanxiang+Information+Technology+UD1116G365+16GB&id=25890,0.1890551527136892,0.708284023668639,3645.0,30881.0,18166.0,15604.0,0.0674157303370786,0.1068746742055311,16,124.96513513513514
Hewlett-Packard 7EH67AA#ABM 8GB,rk15376,https://www.memorybenchmark.net/ram.php?ram=Hewlett-Packard+7EH67AA%23ABM+8GB&id=15376,0.1890551527136892,0.6571005917159762,5226.0,32090.0,18166.0,12314.0,0.0842696629213483,0.1318956894163171,8,124.96513513513514
G Skill Intl F4-4000C19-4GVK 4GB,rk9824,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C19-4GVK+4GB&id=9824,0.1890551527136892,0.6801775147928995,7261.0,30310.0,18162.0,14678.0,0.0786516853932584,0.2766681850841312,4,124.96513513513514
Chun Well Technology Holding Limited MD4U3236181DCW 32GB,rk15872,https://www.memorybenchmark.net/ram.php?ram=Chun+Well+Technology+Holding+Limited+MD4U3236181DCW+32GB&id=15872,0.1890551527136892,0.6047337278106508,6234.0,29695.0,18162.0,12946.0,0.1741573033707865,0.1309329814361725,32,124.96513513513514
Samsung M471A5244GB0-CWE 4GB,rk24057,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A5244GB0-CWE+4GB&id=24057,0.1890551527136892,0.3112426035502958,4200.0,29648.0,18161.0,10958.0,0.2303370786516854,0.1132191546015093,5244,124.96513513513514
Crucial Technology CT16G4DFD832A.C16FP 16GB,rk15874,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD832A.C16FP+16GB&id=15874,0.1890551527136892,0.6517751479289942,5714.0,31691.0,18156.0,13787.0,0.1348314606741573,0.1315153023607478,16,124.96513513513514
G Skill Intl F4-3600C18-32GTRG 32GB,rk15816,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C18-32GTRG+32GB&id=15816,0.1890551527136892,0.6633136094674557,8291.0,33493.0,18154.0,14707.0,0.1629213483146067,0.1786128552040236,32,124.96513513513514
SanMax Technologies Inc. SMD4-U8G48ME-26V 8GB,rk13585,https://www.memorybenchmark.net/ram.php?ram=SanMax+Technologies+Inc.+SMD4-U8G48ME-26V+8GB&id=13585,0.1890551527136892,0.5618343195266273,5047.0,32447.0,18151.0,12436.0,0.1404494382022472,0.1048224625600518,8,124.96513513513514
Kingston KF2933C17S4/16G 16GB,rk17194,https://www.memorybenchmark.net/ram.php?ram=Kingston+KF2933C17S4%2F16G+16GB&id=17194,0.1890551527136892,0.6931952662721894,4941.0,30948.0,18143.0,14814.0,0.1011235955056179,0.109410587909327,16,124.96513513513514
Kingston XRGM6C-MIB 16GB,rk10512,https://www.memorybenchmark.net/ram.php?ram=Kingston+XRGM6C-MIB+16GB&id=10512,0.1890551527136892,0.6378698224852071,5102.0,31947.0,18140.0,13283.0,0.1067415730337078,0.0819898469529118,16,124.96513513513514
Kingston KHX2666C13D4/8GX 8GB,rk7569,https://www.memorybenchmark.net/ram.php?ram=Kingston+KHX2666C13D4%2F8GX+8GB&id=7569,0.1890551527136892,0.6387573964497042,4105.0,29061.0,18135.0,13348.0,0.0955056179775281,0.0991260489994881,8,124.96513513513514
Corsair CM4X8GF3200C22S2 8GB,rk17655,https://www.memorybenchmark.net/ram.php?ram=Corsair+CM4X8GF3200C22S2+8GB&id=17655,0.1890551527136892,0.4535502958579882,4440.0,30314.0,18133.0,12871.0,0.2191011235955056,0.124311428987372,8,124.96513513513514
G Skill Intl F4-3200C22-8GRS 8GB,rk15410,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C22-8GRS+8GB&id=15410,0.1890551527136892,0.5020710059171598,4223.0,29436.0,18133.0,11218.0,0.1741573033707865,0.1285144711445893,8,124.96513513513514
Lexar Co Limited LD4S16G32C22ST 16GB,rk23550,https://www.memorybenchmark.net/ram.php?ram=Lexar+Co+Limited+LD4S16G32C22ST+16GB&id=23550,0.1890551527136892,0.5639053254437869,6030.0,32403.0,18132.0,12540.0,0.1910112359550562,0.1332340883155428,16,124.96513513513514
A-DATA Technology AO1P32NCST2-BA5S 16GB,rk21029,https://www.memorybenchmark.net/ram.php?ram=A-DATA+Technology+AO1P32NCST2-BA5S+16GB&id=21029,0.1890551527136892,0.4624260355029586,4068.0,30726.0,18129.0,11425.0,0.2528089887640449,0.1229636378151694,16,124.96513513513514
EVGA 8GX-D4-3200-MR 8GB,rk8414,https://www.memorybenchmark.net/ram.php?ram=EVGA+8GX-D4-3200-MR+8GB&id=8414,0.1890551527136892,0.6150887573964496,4369.0,30402.0,18127.0,13138.0,0.1011235955056179,0.0984310207991885,8,124.96513513513514
G Skill Intl F4-3200C16-16GVR 16GB,rk9496,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C16-16GVR+16GB&id=9496,0.1890551527136892,0.6340236686390532,5489.0,32445.0,18126.0,13076.0,0.1404494382022472,0.1146937414589017,16,124.96513513513514
Corsair CMK32GX4M2B3200C16 16GB,rk8001,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2B3200C16+16GB&id=8001,0.1890551527136892,0.6659763313609468,5844.0,32502.0,18125.0,13593.0,0.1235955056179775,0.1145528573642464,16,124.96513513513514
Crucial Technology CT16G4SFS832A.M8FB 16GB,rk16023,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFS832A.M8FB+16GB&id=16023,0.1890551527136892,0.6724852071005918,5189.0,31001.0,18124.0,13763.0,0.1123595505617977,0.11138766137099,16,124.96513513513514
Transcend Information JM3200HLB-16GK 8GB,rk15586,https://www.memorybenchmark.net/ram.php?ram=Transcend+Information+JM3200HLB-16GK+8GB&id=15586,0.1890551527136892,0.5837278106508876,4333.0,31478.0,18122.0,12174.0,0.1348314606741573,0.1249219267308785,8,124.96513513513514
Avant Technology W641GU42J2320NN 8GB,rk19570,https://www.memorybenchmark.net/ram.php?ram=Avant+Technology+W641GU42J2320NN+8GB&id=19570,0.1890551527136892,0.4665680473372781,3890.0,29972.0,18117.0,11075.0,0.1853932584269663,0.1049351698357761,8,124.96513513513514
G Skill Intl F4-3200C16-4GRB 4GB,rk8173,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C16-4GRB+4GB&id=8173,0.1890551527136892,0.4789940828402366,4484.0,29706.0,18114.0,12418.0,0.1573033707865168,0.0992340601387238,4,124.96513513513514
Lexar Co Limited LD4AS008G-3200ST 8GB,rk19259,https://www.memorybenchmark.net/ram.php?ram=Lexar+Co+Limited+LD4AS008G-3200ST+8GB&id=19259,0.1890551527136892,0.457396449704142,4293.0,30553.0,18112.0,10870.0,0.2191011235955056,0.1260677840340752,8,124.96513513513514
Kingston KHX2933C17D4/16G 16GB,rk12497,https://www.memorybenchmark.net/ram.php?ram=Kingston+KHX2933C17D4%2F16G+16GB&id=12497,0.1890551527136892,0.6153846153846154,4714.0,29792.0,18112.0,12509.0,0.1404494382022472,0.1377470754810018,16,124.96513513513514
SK Hynix HMA82GU6CJR8N-XN 16GB,rk15436,https://www.memorybenchmark.net/ram.php?ram=SK+Hynix+HMA82GU6CJR8N-XN+16GB&id=15436,0.1890551527136892,0.7251479289940828,6564.0,32875.0,18110.0,14904.0,0.0955056179775281,0.1110260588613747,16,124.96513513513514
G Skill Intl F4-3200C16-4GTZ 4GB,rk8739,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C16-4GTZ+4GB&id=8739,0.1890551527136892,0.6183431952662721,4484.0,26769.0,18108.0,13934.0,0.0674157303370786,0.1332528728614968,4,124.96513513513514
G Skill Intl F4-3466C16-4GVK 4GB,rk8037,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3466C16-4GVK+4GB&id=8037,0.1890551527136892,0.4100591715976331,3143.0,26575.0,18107.0,10174.0,0.146067415730337,0.1302802184642694,4,124.96513513513514
Panram International Corporation PUD43000C158G2NJK 8GB,rk7861,https://www.memorybenchmark.net/ram.php?ram=Panram+International+Corporation+PUD43000C158G2NJK+8GB&id=7861,0.1890551527136892,0.6662721893491124,3936.0,31354.0,18107.0,13704.0,0.0449438202247191,0.0692304441136277,8,124.96513513513514
