name,price,socket,form_factor,max_memory_gb,memory_slots,color,memory_type,storage_support,estimated_release_year,original_price
MSI MPG B550 GAMING PLUS,0.0183025841671434,AM4,ATX,128,4,Black,DDR4,SATA Only,2020.0,131.0
Gigabyte B550 AORUS ELITE AX V2,0.0206197258607446,AM4,ATX,128,4,Black / Silver,DDR4,SATA Only,2020.0,139.99
Gigabyte B650M AORUS ELITE AX,0.0335070545237101,AM5,MICRO ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,189.99
Asus TUF GAMING X570-PLUS (WI-FI),0.0345380408167473,AM4,ATX,128,4,Black / Gold,DDR4,"PCIe 3.0 NVMe, SATA",2020.0,193.99
Asus TUF GAMING X670E-PLUS WIFI,0.0541267803844547,AM5,ATX,192,4,Black / Orange,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,269.99
ASRock B650M-HDV/M.2,0.0233827691260844,AM5,MICRO ATX,96,2,Silver / Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,150.71
MSI MPG B650I EDGE WIFI,0.0518946950600291,AM5,MINI ITX,96,2,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,261.33
Gigabyte B650I AORUS ULTRA,0.0515493146518617,AM5,MINI ITX,96,2,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,259.99
Gigabyte B550 GAMING X V2,0.0085056369175571,AM4,ATX,128,4,Black,DDR4,SATA Only,2020.0,92.99
MSI X670E GAMING PLUS WIFI,0.0438169174540824,AM5,ATX,192,4,Silver / Black,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,229.99
ASRock B650M-H/M.2+,0.0103098629303723,AM5,MICRO ATX,96,2,Silver / Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,99.99
Asus ROG STRIX Z690-I GAMING WIFI,0.0335070545237101,LGA1700,MINI ITX,96,2,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2021.0,189.99
MSI MAG B550 TOMAHAWK,0.0206197258607446,AM4,ATX,128,4,Black / Silver,DDR4,SATA Only,2020.0,139.99
Gigabyte B650 AORUS ELITE AX V2,0.0329400120625396,AM5,ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,187.79
ASRock B550M-ITX/ac,0.0180422601281515,AM4,MINI ITX,64,2,Silver / Black,DDR4,SATA Only,2020.0,129.99
ASRock B650 Steel Legend WiFi,0.030929588791117,AM5,ATX,192,4,White / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,179.99
Asus ROG STRIX Z690-E GAMING WIFI,0.0440746640273417,LGA1700,ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2021.0,230.99
Asus PRIME X670-P WIFI,0.0386619859888962,AM5,ATX,192,4,Silver / Black,DDR5,SATA Only,2022.0,209.99
Asus ROG CROSSHAIR X670E HERO,0.1494930124903989,AM5,ATX,192,4,Black / Silver,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,639.99
ASRock X670E Steel Legend,0.0515493146518617,AM5,ATX,192,4,Black / White,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,259.99
Gigabyte B550I AORUS PRO AX,0.0335070545237101,AM4,MINI ITX,64,2,Black / Silver,DDR4,SATA Only,2020.0,189.99
Gigabyte B650M D3HP AX,0.0193309929944481,AM5,MICRO ATX,192,4,Black / Gray,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,134.99
Gigabyte B550M DS3H AC,0.0126295820897061,AM4,MICRO ATX,128,4,Black,DDR4,SATA Only,2020.0,108.99
NZXT N7 B650E,0.0489718489192686,AM5,ATX,128,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,279.99
NZXT N7 B650E,0.0489718489192686,AM5,ATX,128,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,279.99
NZXT N7 B650E,0.0489718489192686,AM5,ATX,128,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,249.99
NZXT N7 B650E,0.0489718489192686,AM5,ATX,128,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,249.99
Asus ProArt X670E-CREATOR WIFI,0.0940774992396476,AM5,ATX,192,4,Black / Copper,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,424.99
Gigabyte X670 AORUS ELITE AX (rev. 1.0),0.0541267803844547,AM5,ATX,192,4,Black,DDR5,SATA Only,2022.0,269.99
ASRock B650E PG RIPTIDE WIFI,0.0335070545237101,AM5,ATX,192,4,Black / Blue,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,189.99
MSI B650M GAMING PLUS WIFI,0.0542728816119966,AM5,MICRO ATX,192,4,Silver / Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,270.5568406205924
ASRock Z690 Extreme,0.0180422601281515,LGA1700,ATX,128,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2021.0,129.99
Gigabyte B650E AORUS ELITE X AX ICE,0.0489718489192686,AM5,ATX,192,4,Silver / White,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,249.99
Gigabyte B550M DS3H,0.0074772280902525,AM4,MICRO ATX,128,4,Black / Gold,DDR4,SATA Only,2020.0,89.0
Asus ROG STRIX B650E-E GAMING WIFI,0.0698879833392615,AM5,ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,331.14
Asus ROG STRIX B550-F GAMING,0.0255169107526715,AM4,ATX,128,4,Black,DDR4,SATA Only,2020.0,158.99
ASRock B550 Phantom Gaming 4/ac,0.0077323971977792,AM4,ATX,128,4,Silver / Black,DDR4,SATA Only,2020.0,89.99
ASRock B650M PG RIPTIDE WIFI,0.0283521230585239,AM5,MICRO ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,169.99
Asus TUF GAMING B650M-PLUS WIFI,0.0335070545237101,AM5,MICRO ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,189.99
Asus ROG STRIX X670E-F GAMING WIFI,0.0747465062451994,AM5,ATX,192,4,Black / Silver,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,349.99
Asus PRIME B650-PLUS,0.0270633901922273,AM5,ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,164.99
