name,id,details_link,price,average_mark,database_operations,read_cached_mbps,read_uncached_mbps,write_mbps,latency,threaded_mbps,memory_size_gb,original_price
G Skill Intl F5-8800C4255H24G 24GB,rk26542,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-8800C4255H24G+24GB&id=26542,0.3096028820999123,0.9404511278195488,11080.0,42885.0,42393.0,34040.0,0.1212121212121212,0.8599930732503772,24,276.6214444444444
Essencore Limited KD5BGUA80-64A320J 32GB,rk26769,https://www.memorybenchmark.net/ram.php?ram=Essencore+Limited+KD5BGUA80-64A320J+32GB&id=26769,0.3096028820999123,0.8384962406015037,12607.0,42549.0,41928.0,30328.0,0.1717171717171717,0.6509412957969473,32,276.6214444444444
Essencore Limited KD5AGU880-60A300G 16GB,rk23710,https://www.memorybenchmark.net/ram.php?ram=Essencore+Limited+KD5AGU880-60A300G+16GB&id=23710,0.3096028820999123,0.812330827067669,7589.0,42056.0,41678.0,33301.0,0.1313131313131313,0.4422977018034287,16,276.6214444444444
Corsair CMK96GX5M4B5600C40 24GB,rk23877,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK96GX5M4B5600C40+24GB&id=23877,0.3096028820999123,0.629172932330827,13188.0,43180.0,41234.0,27240.0,0.303030303030303,0.4212329614328476,24,276.6214444444444
Kingston 9905782-105.A00G 32GB,rk21148,https://www.memorybenchmark.net/ram.php?ram=Kingston+9905782-105.A00G+32GB&id=21148,0.3096028820999123,0.5302255639097744,10165.0,42714.0,41214.0,22197.0,0.3535353535353535,0.2119090616728099,32,276.6214444444444
OLOy Technology D5U3264321I 32GB,rk24908,https://www.memorybenchmark.net/ram.php?ram=OLOy+Technology+D5U3264321I+32GB&id=24908,0.3096028820999123,0.6926315789473683,10135.0,41748.0,40986.0,27799.0,0.2424242424242424,0.4430274843529673,32,276.6214444444444
A-DATA Technology AX5U6400C3232G-BLAWH 32GB,rk26154,https://www.memorybenchmark.net/ram.php?ram=A-DATA+Technology+AX5U6400C3232G-BLAWH+32GB&id=26154,0.3096028820999123,0.7172932330827066,9000.0,41951.0,40655.0,28336.0,0.2121212121212121,0.3497019023823071,32,276.6214444444444
Wilk Elektronik S.A. IRG-60D5L30/32G 32GB,rk26456,https://www.memorybenchmark.net/ram.php?ram=Wilk+Elektronik+S.A.+IRG-60D5L30%2F32G+32GB&id=26456,0.3096028820999123,0.758796992481203,11990.0,41855.0,40531.0,30697.0,0.2121212121212121,0.5758602775647528,32,276.6214444444444
Essencore Limited KD5BGUA80-60A300G 32GB,rk26096,https://www.memorybenchmark.net/ram.php?ram=Essencore+Limited+KD5BGUA80-60A300G+32GB&id=26096,0.3436843227437483,0.663157894736842,7793.0,41838.0,40328.0,28396.0,0.2626262626262627,0.4873092051554808,32,299.0
Corsair CMK96GX5M2B7000C40 48GB,rk26271,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK96GX5M2B7000C40+48GB&id=26271,0.3096028820999123,0.6153383458646615,12481.0,41988.0,40223.0,25130.0,0.3131313131313132,0.5373673403755288,48,276.6214444444444
